公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京升鑫网络科技有限公司,青藤云安全,15-50人,A轮,洪山区,测试开发工程师,3-5年,本科,10k-20k,"不打卡,餐补,电脑部,下午茶"
福韵数据服务有限公司,福韵数据服务有限公司,150-500人,不需要融资,洪山区,高级Java开发工程师,5-10年,本科,10k-20k,"开元框架,VUE,大数据处理,spark"
武汉然诺管理咨询有限公司,RulerTech然诺,15-50人,天使轮,江夏区,Linux C/C++开发工程师,1-3年,大专,6k-12k,"五险一金,周末双休,年终奖励"
上海罗盘信息科技有限公司,罗盘科技,150-500人,不需要融资,武昌区,数据库研发工程师,3-5年,本科,6k-12k,"年底双薪,绩效奖金,五险一金,员工旅游"
贵阳高登世德金融科技有限公司,高登世德金融科技,50-150人,A轮,武昌区,技术负责人,1-3年,本科,10k-15k,"周末双休,五险一金,专业培训,扁平管理"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,江夏区,Java开发工程师,3-5年,本科,15k-30k,弹性不打卡 高额补贴 年度旅游
传神语联网网络科技股份有限公司,传神,500-2000人,上市公司,洪山区,高级Java开发工程师,3-5年,本科,10k-20k,"发展前景好,公司氛围佳"
武汉市尚蓝科技有限公司,武汉市尚蓝科技有限公司,15-50人,不需要融资,洪山区,PHP开发工程师,1-3年,大专,7k-12k,"年终奖,双休,弹性工作制,福利好"
北京无忧创想技术咨询有限公司武汉分公司,51CTO,50-150人,B轮,东湖新技术开发区,技术经理,5-10年,本科,20k-30k,"五险一金,餐补,电话补贴,带薪年假"
行吟信息科技（上海）有限公司,小红书,500-2000人,D轮及以上,东湖新技术开发区,资深前端开发工程师,3-5年,本科,15k-30k,"年底多薪,六险一金,平台广阔,发展空间大"
武汉猫鹰科技有限公司,猫头鹰团队,50-150人,A轮,江夏区,java开发工程师,1-3年,本科,10k-15k,"五险一金,年终奖金,弹性时间,零食水果"
咸宁方片互动网络有限公司,方片互动,50-150人,天使轮,洪山区,PHP初级开发工程师,1-3年,大专,5k-8k,"健身房,核心研发岗,H5游戏,期权鼓励"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,东湖新技术开发区,运维开发工程师,3-5年,本科,12k-24k,"弹性工作,给力年终,普调加薪,年度旅游"
北京小米科技有限责任公司,小米,2000人以上,D轮及以上,江夏区,搜索爬虫工程师-武汉,3-5年,硕士,15k-30k,"精英团队,弹性工作,发展空间大,丰厚年终奖"
北京百分点信息科技有限公司,百分点,500-2000人,D轮及以上,洪山区,技术经理(J10264),5-10年,本科,13k-26k,"五险一金,弹性工作,补充医疗,绩效奖金"
武汉掌中宝网络科技有限公司,武汉掌中宝,150-500人,未融资,武昌区,后端开发工程师（Node.js),1-3年,本科,15k-25k,"免费体检,下午茶,年终奖,扁平管理"
科大讯飞股份有限公司,科大讯飞,2000人以上,上市公司,东湖新技术开发区,高级开发运维工程师,3-5年,本科,8k-15k,大平台、年终奖、领导nice
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,洪山区,后端开发Leader,不限,本科,25k-40k,六险一金，高薪期权，租房补贴，扁平管理，职业大牛
武汉博智思越企业管理咨询有限公司,博智思越,少于15人,未融资,洪山区,运维开发工程师,3-5年,本科,8k-15k,"五险一金,年终奖,每年调薪,餐补"
北京广通信达软件股份有限公司杭州分公司,广通软件,150-500人,上市公司,武昌区,高级JAVA开发工程师,3-5年,本科,10k-18k,"领导棒,技术氛围佳,五险一金,团建"
武汉锐视智慧科技有限公司,锐视智慧,15-50人,不需要融资,东湖新技术开发区,系统开发工程师（Kubernetes）,1-3年,本科,10k-16k,"其实不简单,优美的架构,最新的技术,大胆去干"
武汉烽火云创软件技术有限公司,烽火云创,150-500人,不需要融资,洪山区,DevOps工程师,3-5年,本科,20k-30k,竞争性央企
加和（北京）信息科技有限公司,加和科技,50-150人,A轮,洪山区,算法工程师,1-3年,本科,10k-20k,"年轻团队,激情满满,福利多多,行业先锋"
北京深瞐科技有限公司,深瞐科技,50-150人,B轮,江夏区,C++高级研发工程师,1-3年,本科,13k-25k,五险一金，餐话交补，年终奖金，双休
北京阿博茨科技有限公司,阿博茨科技,150-500人,A轮,洪山区,数据工程师,3-5年,本科,10k-15k,金融公司
武汉斗鱼网络科技有限公司,斗鱼直播,2000人以上,D轮及以上,洪山区,资深DBA工程师,3-5年,本科,15k-30k,"知名平台,薪酬待遇佳,发展空间大"
